title, genres, year, rating
About Schmidt,Comedy|Drama,2002,3
Black Panther,Action|Adventure|Sci-Fi,2017,3
Lord of the Rings: The Two Towers,Adventure|Fantasy,2002,4
Far from Heaven,Drama|Romance,2002,3
Shipping News,Drama,2001,4
25th Hour,Crime|Drama,2002,5
Team America: World Police,Action|Adventure|Animation|Comedy,2004,4
Changeling,Crime|Drama|Mystery,2008,3
Gangs of New York,Crime|Drama,2002,4
Control,Drama,2007,2
Snakes on a Plane,Action|Comedy|Horror|Thriller,2006,4
Milk,Drama,2008,3
Fountain,Drama|Fantasy|Romance,2006,1
Valkyrie,Drama|Thriller|War,2008,4
Fish Tank,Drama,2009,5
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,2006,3
Get Him to the Greek,Comedy,2010,1
August Rush,Drama|Musical,2007,1
Iron Man 2,Action|Adventure|Sci-Fi|Thriller|IMAX,2010,4
Déjà Vu (Deja Vu),Action|Sci-Fi|Thriller,2006,3
Southland Tales,Comedy|Drama|Sci-Fi|Thriller,2006,5
Enter the Void,Drama,2009,2
And Your Mother Too (Y tu mamá también),Drama|Romance,2001,3.5
Narc,Crime|Drama|Thriller,2002,4
Infidel,Comedy,2010,2
Importance of Being Earnest,Comedy|Drama|Romance,2002,4
Catch Me If You Can,Crime|Drama,2002,4
Melancholia,Drama|Sci-Fi,2011,4
Confessions of a Dangerous Mind,Comedy|Crime|Drama|Thriller,2002,3
Martha Marcy May Marlene,Drama|Thriller,2011,3
City of God (Cidade de Deus),Action|Adventure|Crime|Drama|Thriller,2002,4
Lost in Translation,Comedy|Drama|Romance,2003,4
Recruit,Action|Thriller,2003,3
Mean Girls,Comedy,2004,3
Old School,Comedy,2003,2
Notebook,Drama|Romance,2004,2
X2: X-Men United,Action|Adventure|Sci-Fi|Thriller,2003,3
Birdman: Or (The Unexpected Virtue of Ignorance),Comedy|Drama,2014,4
Walk the Line,Drama|Musical|Romance,2005,4
America's Sweethearts,Comedy|Romance,2001,2
Pledge,Crime|Drama|Mystery|Thriller,2001,3
Dish,Comedy,2001,3
Untitled Spider-Man Reboot,Action|Adventure|Fantasy,2017,3
Master and Commander: The Far Side of the World,Adventure|Drama|War,2003,3
Trapped,Action|Thriller,2002,2.5
Gosford Park,Comedy|Drama|Mystery,2001,3
Million Dollar Hotel,Drama|Mystery|Romance,2001,3
Brooklyn,Drama|Romance,2015,4
21 Grams,Crime|Drama|Mystery|Romance|Thriller,2003,4
Mistress America,Comedy,2015,3
Dawn of the Dead,Action|Drama|Horror|Thriller,2004,3
45 Years,Drama,2015,3
Tailor of Panama,Drama|Thriller,2001,3
Carandiru,Crime|Drama,2003,4
Victoria,Crime|Drama|Romance,2015,4
Blind Swordsman: Zatoichi,Action|Comedy|Crime|Drama,2003,4
Thirteen Ghosts (a.k.a. Thir13en Ghosts),Horror|Thriller,2001,2
Sky Captain and the World of Tomorrow,Action|Adventure|Sci-Fi,2004,2
Novocaine,Comedy|Crime|Mystery|Thriller,2001,2
Kinsey,Drama,2004,3
Dragonfly,Drama|Fantasy|Mystery|Romance|Thriller,2002,3
Finding Neverland,Drama,2004,3
Simone (S1m0ne),Comedy|Drama|Fantasy|Sci-Fi,2002,0.5
Conspiracy,Drama|War,2001,4
Lemony Snicket's A Series of Unfortunate Events,Adventure|Children|Comedy|Fantasy,2004,4
Aviator,Drama,2004,3
Kingdom of Heaven,Action|Drama|Romance|War,2005,3
Majestic,Comedy|Drama|Romance,2001,4
Constant Gardener,Drama|Thriller,2005,2
Proof,Drama,2005,4
Capote,Crime|Drama,2005,4
Heartbreakers,Comedy|Crime|Romance,2001,3
Good Night,Crime|Drama,2005,4
Wolf Creek,Crime|Horror|Thriller,2005,1
World's Fastest Indian,Drama,2005,3
Good Shepherd,Drama|Thriller,2006,3
Vie en Rose,Drama|Musical,2007,4
Shoot 'Em Up,Action|Comedy|Crime,2007,2
Michael Clayton,Drama|Thriller,2007,4
Before the Devil Knows You're Dead,Crime|Drama|Thriller,2007,4
Hunger,Drama,2008,5
Che: Part One,Drama|War,2008,4
Terminator Salvation,Action|Adventure|Sci-Fi|Thriller,2009,3
Tron: Legacy,Action|Adventure|Sci-Fi|IMAX,2010,3
Unknown,Drama|Mystery|Thriller,2011,3
Jeepers Creepers,Horror,2001,2
Green Lantern,Action|Adventure|Sci-Fi,2011,2
Zoolander,Comedy,2001,3
Your Highness,Action|Adventure|Comedy|Fantasy,2011,3
Man Who Wasn't There,Crime|Drama,2001,3
Captain America: The First Avenger,Action|Adventure|Sci-Fi|Thriller|War,2011,2
Tinker Tailor Soldier Spy,Drama|Film-Noir|Thriller,2011,4
Iron Sky,Action|Comedy|Sci-Fi,2012,3
Series 7: The Contenders,Action|Drama,2001,4
Samsara,Documentary,2011,4
Cloud Atlas,Drama|Sci-Fi|IMAX,2012,4
Elysium,Action|Drama|Sci-Fi|IMAX,2013,2
Fury,Action|Drama|War,2014,4
Lantana,Drama|Mystery|Thriller,2001,4
Das Experiment (Experiment,Drama|Thriller,2001,4
Very Long Engagement,Drama|Mystery|Romance|War,2004,3
Bridget Jones's Diary,Comedy|Drama|Romance,2001,1.5
Flightplan,Action|Drama|Thriller,2005,3
Mummy Returns,Action|Adventure|Comedy|Thriller,2001,2.5
Painted Veil,Drama|Romance,2006,3
Shrek,Adventure|Animation|Children|Comedy|Fantasy|Romance,2001,3
Boy A,Crime|Drama,2007,4
Jurassic Park III,Action|Adventure|Sci-Fi|Thriller,2001,1.5
Reader,Drama|Romance,2008,3
Planet of the Apes,Action|Adventure|Drama|Sci-Fi,2001,2.5
Baader Meinhof Komplex,Action|Crime|Drama|Thriller,2008,4
Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001,4
Panic Room,Thriller,2002,2
Monsters,Adventure|Animation|Children|Comedy|Fantasy,2001,2.5
No Such Thing,Drama|Fantasy|Romance,2001,2
Ocean's Eleven,Crime|Thriller,2001,2
Cars,Animation|Children|Comedy,2006,1
Frailty,Crime|Drama|Thriller,2001,3.5
Child,Crime|Drama,2005,4
Training Day,Crime|Drama|Thriller,2001,2.5
Ratatouille,Animation|Children|Drama,2007,1
Inglourious Basterds,Action|Drama|War,2009,4
Unfaithful,Drama|Thriller,2002,3
Science of Sleep,Comedy|Drama|Fantasy|Romance,2006,4
United 93,Crime|Drama,2006,4
Descent,Adventure|Drama|Horror|Thriller,2005,2.5
Mr. Deeds,Comedy|Romance,2002,1
21 Grams,Crime|Drama|Mystery|Romance|Thriller,2003,3.5
Cat's Meow,Drama|Thriller,2002,2
Enemy at the Gates,Drama|War,2001,4
Believer,Drama,2001,2
Blow,Crime|Drama,2001,4
Bridget Jones's Diary,Comedy|Drama|Romance,2001,3
Spirited Away (Sen to Chihiro no kamikakushi),Adventure|Animation|Fantasy,2001,4.5
Knocked Up,Comedy|Drama|Romance,2007,2
Shrek,Adventure|Animation|Children|Comedy|Fantasy|Romance,2001,4
Thirteen Conversations About One Thing (a.k.a. 13 Conversations),Drama,2001,3
Moulin Rouge,Drama|Musical|Romance,2001,4
Four Feathers,Adventure|War,2002,3
Final Fantasy: The Spirits Within,Adventure|Animation|Fantasy|Sci-Fi,2001,4
Noah,Adventure|Drama|IMAX,2014,3
Score,Action|Drama,2001,3
Life of David Gale,Crime|Drama|Thriller,2003,3.5
36 Quai des Orfèvres (Department 36),Action|Crime|Drama|Thriller,2004,3
Time to Leave,Drama,2005,4
Dark Knight,Action|Crime|Drama|IMAX,2008,3
Mist,Horror|Sci-Fi,2007,3.5
Inland Empire,Drama|Mystery|Thriller,2006,4
Up,Adventure|Animation|Children|Drama,2009,4
Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,2001,2.5
Tales from Earthsea (Gedo Senki),Adventure|Animation|Fantasy,2006,2
Toy Story 3,Adventure|Animation|Children|Comedy|Fantasy|IMAX,2010,4
Death Proof,Action|Adventure|Crime|Horror|Thriller,2007,3
Panic Room,Thriller,2002,3
Inception,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,2010,4
In the Loop,Comedy,2009,4
Ghost Ship,Horror,2002,1.5
Black Swan,Drama|Thriller,2010,4
Gunman,Action|Thriller,2015,3
Broken Embraces (Los abrazos rotos),Drama|Romance|Thriller,2009,4
Pledge,Crime|Drama|Mystery|Thriller,2001,3
King's Speech,Drama,2010,3
Lantana,Drama|Mystery|Thriller,2001,4
Prophet,Crime|Drama,2009,4
Million Dollar Hotel,Drama|Mystery|Romance,2001,3
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro),Action|Crime|Drama,2010,3
Edge of Darkness,Drama|Thriller,2010,3
Piano Teacher,Drama,2001,3.5
Midnight in Paris,Comedy|Fantasy|Romance,2011,3
Hannibal,Horror|Thriller,2001,3.5
3-Iron (Bin-jip),Drama|Romance,2004,3.5
Sunshine,Adventure|Drama|Sci-Fi|Thriller,2007,3
Perfume: The Story of a Murderer,Crime|Drama|Thriller,2006,3
Big Fish,Drama|Fantasy|Romance,2003,3
Lord of the Rings: The Return of the King,Action|Adventure|Drama|Fantasy,2003,3.5
Captain America: Civil War,Action|Sci-Fi|Thriller,2016,3
(500) Days of Summer,Comedy|Drama|Romance,2009,4
Matrix Reloaded,Action|Adventure|Sci-Fi|Thriller|IMAX,2003,3
Antitrust,Crime|Drama|Thriller,2001,2
Avatar,Action|Adventure|Sci-Fi|IMAX,2009,2
Sweetest Thing,Comedy|Romance,2002,2
Orphanage,Drama|Horror|Mystery|Thriller,2007,3
Cowboys & Aliens,Action|Sci-Fi|Thriller|Western|IMAX,2011,2
Easy A,Comedy|Romance,2010,4
Side Effects,Crime|Drama|Mystery|Thriller,2013,3
Behind the Candelabra,Drama,2013,3
Captain Phillips,Adventure|Drama|Thriller|IMAX,2013,3
Lone Survivor,Action|Drama|Thriller|War,2013,3
Star Trek Beyond,Action|Adventure|Sci-Fi,2016,3
Series 7: The Contenders,Action|Drama,2001,2
L.I.E.,Drama,2001,4
Devil's Backbone,Drama|Fantasy|Horror|Thriller|War,2001,4
Rules of Attraction,Comedy|Drama|Romance|Thriller,2002,3
Bad Education (La mala educación),Drama|Thriller,2004,2
I Am Love (Io sono l'amore),Drama|Romance,2009,3
Skin I Live In,Drama,2011,2
Good Girl,Comedy|Drama,2002,4
Mighty Wind,Comedy|Musical,2003,2
Pledge,Crime|Drama|Mystery|Thriller,2001,3
Finding Nemo,Adventure|Animation|Children|Comedy,2003,3
Wind That Shakes the Barley,Drama|War,2006,4
Terminator 3: Rise of the Machines,Action|Adventure|Sci-Fi,2003,3
Inland Empire,Drama|Mystery|Thriller,2006,4
Pirates of the Caribbean: The Curse of the Black Pearl,Action|Adventure|Comedy|Fantasy,2003,3
Don't Say a Word,Thriller,2001,2
Persepolis,Animation|Drama,2007,4
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,2004,3.5
League of Extraordinary Gentlemen,Action|Fantasy|Sci-Fi,2003,2
Mist,Horror|Sci-Fi,2007,4
In Bruges,Comedy|Crime|Drama|Thriller,2008,4
A.I. Artificial Intelligence,Adventure|Drama|Sci-Fi,2001,3
Road,Adventure|Drama|Thriller,2009,4
Others,Drama|Horror|Mystery|Thriller,2001,4
Timecrimes (Cronocrímenes,Sci-Fi|Thriller,2007,3
Rise of the Planet of the Apes,Action|Drama|Sci-Fi|Thriller,2011,3
End of Watch,Crime|Drama|Thriller,2012,3
Hunt,Drama,2012,3
Oblivion,Action|Adventure|Sci-Fi|IMAX,2013,3
Gravity,Action|Sci-Fi|IMAX,2013,4
Coherence,Drama|Mystery|Sci-Fi|Thriller,2013,4
Still Alice,Drama,2014,4
Sicario,Crime|Drama|Mystery,2015,4
The Handmaiden,Drama|Romance|Thriller,2016,3
Hell or High Water,Crime|Drama,2016,4
Arrival,Sci-Fi,2016,4
Logan,Action|Sci-Fi,2017,4
Hannibal,Horror|Thriller,2001,2.5
Amour,Drama|Romance,2012,3.5
One Night at McCool's,Comedy,2001,4
Avengers,Action|Adventure|Sci-Fi|IMAX,2012,3
Dark Knight Rises,Action|Adventure|Crime|IMAX,2012,4
Salt,Action|Thriller,2010,3
Enemy at the Gates,Drama|War,2001,3
Ted,Comedy|Fantasy,2012,3
Dirty Pretty Things,Crime|Drama|Thriller,2002,3
Amazing Spider-Man,Action|Adventure|Sci-Fi|IMAX,2012,3
Shattered Glass,Crime|Drama,2003,4
Argo,Drama|Thriller,2012,4
Devil,Horror|Mystery|Thriller,2010,3
Silver Linings Playbook,Comedy|Drama,2012,3
Under the Skin,Horror|Sci-Fi|Thriller,2013,4
Swimfan,Thriller,2002,1.5
Serendipity,Comedy|Romance,2001,2
Simpsons Movie,Animation|Comedy,2007,3.5
Joe Dirt,Adventure|Comedy|Mystery|Romance,2001,2
Beautiful Mind,Drama|Romance,2001,3
Frailty,Crime|Drama|Thriller,2001,3.5
Black Hawk Down,Action|Drama|War,2001,2
Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001,4
Unfaithful,Drama|Thriller,2002,2
Ice Age,Adventure|Animation|Children|Comedy,2002,3
Taxidermia,Comedy|Drama|Horror,2006,1
Offside,Comedy|Drama,2006,3
Flags of Our Fathers,Drama|War,2006,3
Guide to Recognizing Your Saints,Crime|Drama,2006,4
Perfume: The Story of a Murderer,Crime|Drama|Thriller,2006,3
Shooting Dogs (a.k.a. Beyond the Gates),Documentary|Drama|War,2005,3
Holiday,Comedy|Romance,2006,2
Page Turner,Drama|Musical|Thriller,2006,3
Freedom Writers,Drama,2007,2
Bothersome Man,Comedy|Drama|Fantasy|Mystery,2006,3
Good German,Drama|Mystery|Thriller,2006,3
Old Joy,Drama,2006,3
Venus,Drama|Romance,2006,4
Cocaine Cowboys,Documentary,2006,4
Days of Glory (Indigènes),Action|Adventure|Drama|War,2006,3
Kidulthood,Drama,2006,4
Consequences of Love,Crime|Drama,2004,4
Starter for 10,Drama|Romance,2006,4
Jindabyne,Crime|Drama|Mystery|Thriller,2006,3
Black Book (Zwartboek),Drama|Thriller|War,2006,4
Big Nothing,Comedy|Crime|Thriller,2006,2
Adam & Paul,Comedy|Drama,2004,2
Away from Her,Drama,2006,2
Zidane: A 21st Century Portrait (Zidane,Documentary,2006,3
Bug,Drama|Horror|Thriller,2007,3
Four Minutes (Vier Minuten),Drama,2006,2
Exiled (Fong juk),Action|Crime|Thriller,2006,2
Lady Chatterley,Drama|Romance,2006,4
2 Days in Paris,Comedy|Drama|Romance,2007,4
Straightheads (Closure),Crime|Drama,2007,4
Assassination of Jesse James by the Coward Robert Ford,Crime|Drama|Western,2007,4
Beaufort,Action|Drama|War,2007,4
Irina Palm,Drama,2007,4
You,Comedy|Drama|Musical,2007,2
Goodbye Bafana (Color of Freedom,Drama|War,2007,4
Cleaner,Crime|Thriller,2007,3
He Was a Quiet Man,Drama,2007,3
Bamako,Drama,2006,2
Aerial,Adventure|Fantasy|Film-Noir|Mystery|Sci-Fi,2007,2
Happy-Go-Lucky,Comedy|Drama,2008,2
Hunt,Drama,2012,4
Savage Grace,Crime|Drama,2007,3
Recount,Drama,2008,4
Jay and Silent Bob Strike Back,Adventure|Comedy,2001,2
Secretary,Comedy|Drama|Romance,2002,4
Cherish,Comedy|Drama|Thriller,2002,3
The Butterfly Effect,Drama|Sci-Fi|Thriller,2004,2.5
Pride & Prejudice,Drama|Romance,2005,3.5
Fast Runner,Drama|Fantasy,2001,4
Pirates of the Caribbean: At World's End,Action|Adventure|Comedy|Fantasy,2007,3
Gran Torino,Crime|Drama,2008,2
Red Dragon,Crime|Mystery|Thriller,2002,3.5
Training Day,Crime|Drama|Thriller,2001,4
WALL·E,Adventure|Animation|Children|Romance|Sci-Fi,2008,1.5
Brick Lane,Drama,2007,3
Water Lilies (Naissance des pieuvres),Drama,2007,3
Transsiberian,Crime|Drama|Thriller,2008,2
Red Dragon,Crime|Mystery|Thriller,2002,3.5
Felon,Crime|Drama,2008,3
Spider-Man,Action|Adventure|Sci-Fi|Thriller,2002,2
Inside Paris (Dans Paris),Drama,2006,3
Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,2002,2.5
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),Action|Comedy|Sci-Fi,2002,1.5
Planet Terror,Action|Horror|Sci-Fi,2007,3
Bitter Lake,Documentary,2015,4
4 Months,Drama,2007,4.5
Persepolis,Animation|Drama,2007,3.5
Man from Earth,Drama|Sci-Fi,2007,3.5
Futurama: Bender's Big Score,Animation|Comedy|Sci-Fi,2007,3.5
It Follows,Horror,2014,3
I'm Not There,Drama,2007,4
Life of Pi,Adventure|Drama|IMAX,2012,4
Cloverfield,Action|Mystery|Sci-Fi|Thriller,2008,3.5
Girl Who Leapt Through Time,Animation|Comedy|Drama|Romance|Sci-Fi,2006,2.5
Paperman,Animation|Comedy|Romance,2012,4
Angel Eyes,Romance|Thriller,2001,2
SpongeBob SquarePants Movie,Adventure|Animation|Children|Comedy,2004,2.5
Bully,Crime|Drama|Thriller,2001,4
Imaginarium of Doctor Parnassus,Drama|Fantasy,2009,3.5
Jump Tomorrow,Comedy|Drama|Romance,2001,2
Blow,Crime|Drama,2001,3
The Theory of Everything,Drama|Romance,2014,3
Dunkirk,Action|Drama|Thriller|War,2017,3
About a Boy,Comedy|Drama|Romance,2002,3
Blade Runner 2049,Sci-Fi,2017,4
Matchstick Men,Comedy|Crime|Drama,2003,4
Kill Bill: Vol. 1,Action|Crime|Thriller,2003,5
Jackass: The Movie,Action|Comedy|Documentary,2002,1
Master and Commander: The Far Side of the World,Adventure|Drama|War,2003,3
Hannibal,Horror|Thriller,2001,2
Big Fish,Drama|Fantasy|Romance,2003,4
Lord of the Rings: The Return of the King,Action|Adventure|Drama|Fantasy,2003,4
Eternal Sunshine of the Spotless Mind,Drama|Romance|Sci-Fi,2004,4
One Night at McCool's,Comedy,2001,3
I'm Not There,Drama,2007,3
Winged Migration (Peuple migrateur,Documentary,2001,3
Cloverfield,Action|Mystery|Sci-Fi|Thriller,2008,4
Adjustment Bureau,Romance|Sci-Fi|Thriller,2011,3
Hellboy II: The Golden Army,Action|Adventure|Fantasy|Sci-Fi,2008,3
Bucket List,Comedy|Drama,2007,2.5
Sweeney Todd: The Demon Barber of Fleet Street,Drama|Horror|Musical|Thriller,2007,2
Signal,Horror|Sci-Fi|Thriller,2007,2.5
Spellbound,Documentary,2002,3
Hellboy,Action|Adventure|Fantasy|Horror,2004,3
Swimming Pool,Drama|Mystery|Thriller,2003,4
Kill Bill: Vol. 2,Action|Drama|Thriller,2004,5
Producers,Comedy|Musical,2005,3
Legally Blonde,Comedy|Romance,2001,2
I Am Sam,Drama,2001,4
Descendants,Comedy|Drama,2011,4
Lincoln,Drama|War,2012,3
15 Minutes,Thriller,2001,3
Kill Bill: Vol. 2,Action|Drama|Thriller,2004,4
Lady Bird,Comedy,2017,4
Along Came a Spider,Action|Crime|Mystery|Thriller,2001,3
Bridget Jones's Diary,Comedy|Drama|Romance,2001,3.5
Deep End,Drama,2001,3
Mummy Returns,Action|Adventure|Comedy|Thriller,2001,2.5
Shrek,Adventure|Animation|Children|Comedy|Fantasy|Romance,2001,4.5
Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,2001,4.5
Moulin Rouge,Drama|Musical|Romance,2001,5
Django Unchained,Action|Drama|Western,2012,4
Hellboy II: The Golden Army,Action|Adventure|Fantasy|Sci-Fi,2008,2.5
Lone Ranger,Action|Adventure|Western|IMAX,2013,3
Beautiful Mind,Drama|Romance,2001,3.5
Indiana Jones and the Kingdom of the Crystal Skull,Action|Adventure|Comedy|Sci-Fi,2008,1.5
Cooler,Comedy|Drama|Romance,2003,2
Cold Mountain,Drama|Romance|War,2003,3
Ghost in the Shell 2.0,Action|Animation|Sci-Fi,2008,4
King Kong,Action|Adventure|Drama|Fantasy|Thriller,2005,4
Monsters,Adventure|Animation|Children|Comedy|Fantasy,2001,1
Shallow Hal,Comedy|Fantasy|Romance,2001,1
Ocean's Eleven,Crime|Thriller,2001,3
Gravity,Action|Sci-Fi|IMAX,2013,3.5
Vanilla Sky,Mystery|Romance|Sci-Fi|Thriller,2001,4
Slumdog Millionaire,Crime|Drama|Romance,2008,3.5
Royal Tenenbaums,Comedy|Drama,2001,4
8 Mile,Drama,2002,3.5
K-PAX,Drama|Fantasy|Mystery|Sci-Fi,2001,3
8 Mile,Drama,2002,3
Donnie Darko,Drama|Mystery|Sci-Fi|Thriller,2001,5
Wrestler,Drama,2008,4
Monsters,Adventure|Animation|Children|Comedy|Fantasy,2001,4
Dog Soldiers,Action|Horror,2002,2.5
Dark Blue World (Tmavomodrý svet),Drama|War,2001,3
Dark Knight,Action|Crime|Drama|IMAX,2008,3.5
Rabbit-Proof Fence,Adventure|Drama,2002,4
Willard,Drama|Horror|Thriller,2003,3
Lovely & Amazing,Comedy|Drama|Romance,2001,4
Behind Enemy Lines,Action|Drama|War,2001,3
Me Without You,Comedy|Drama,2001,4
Sex and Lucia (Lucía y el sexo),Drama|Romance,2001,3
Lord of the Rings: The Fellowship of the Ring,Adventure|Fantasy,2001,3
Beautiful Mind,Drama|Romance,2001,3
Black Hawk Down,Action|Drama|War,2001,3
Silent Light (Stellet licht),Drama,2007,4
Super Troopers,Comedy|Crime|Mystery,2001,4
Prisoners,Drama|Mystery|Thriller,2013,3.5
Elegy,Drama|Romance,2008,3
Amy,Documentary,2015,5
